text,system,source,error_code,timestamp,category,priority,routing_team
[auth] p95 high (E500). alert triggered from montioring.,auth,monitoring,E500,2026-02-08T12:54:49Z,latency,P1,SRE
[payments] p9 5high (E403). alert triggered from monitoring.,payments,monitoring,E403,2026-01-29T13:55:49Z,latency,P1,SRE
[inventory] login fails (OOM). seen by customers,inventory,batch_job,OOM,2026-02-06T21:15:49Z,auth_issue,P1,Security
[auth] unauthorized (E403).,auth,batch_job,E403,2026-01-26T19:16:49Z,auth_issue,P1,Security
[gateway] token invalid (OOM).,gateway,qa,OOM,2026-02-08T23:26:49Z,auth_issue,P1,Security
[auth] checkout broken (E500).,auth,batch_job,E500,2026-01-29T09:40:49Z,payment_issue,P0,Payments
[auth] lag (DB_CONN). needs investigation,auth,partner,DB_CONN,2026-02-06T10:01:49Z,latency,P1,SRE
[payments] permission denied (E401). user says app is broken.,payments,user_report,E401,2026-01-26T09:01:49Z,auth_issue,P1,Security
[inventory] webhoko failed (E504).,inventory,qa,E504,2026-02-03T12:56:49Z,payment_issue,P0,Payments
[billing] inconsistent state (E408). user says app is broken.,billing,user_report,E408,2026-02-07T11:11:49Z,data_issue,P2,Data
[mobile] webhook failed (E403).,mobile,partner,E403,2026-02-09T09:35:49Z,payment_issue,P1,Payments
[auth] unauthorized (TIMEOUT).,auth,qa,TIMEOUT,2026-01-29T08:05:49Z,auth_issue,P1,Security
[search] version mismatch (E403). occurred right after deployment.,search,partner,E403,2026-02-01T14:23:49Z,deployment_issue,P1,Platform
[payments] charge failed (E502).,payments,partner,E502,2026-01-28T22:06:49Z,payment_issue,P0,Payments
[payments] service down (OOM). suer says app is broken.,payments,user_report,OOM,2026-02-07T22:48:49Z,outage,P0,SRE
[mobile] rollback (TIMEOUT). user says app is broken. occurred right after deployment.,mobile,user_report,TIMEOUT,2026-02-02T14:53:49Z,deployment_issue,P2,Platform
[auth] unavailable (E429). user says app is broken.,auth,user_report,E429,2026-02-10T04:36:49Z,outage,P0,SRE
[payments] unavailable (E403). user says app is broken.,payments,user_report,E403,2026-02-06T14:13:49Z,outage,P0,SRE
[observability] payment declined (E504). user says app is broken.,observability,user_report,E504,2026-02-03T16:26:49Z,payment_issue,P0,Payments
[payments] after deploy (DB_CONN). occurred right after deployment.,payments,qa,DB_CONN,2026-02-09T00:09:49Z,deployment_issue,P1,Platform
[inventory] degraded (E504).,inventory,partner,E504,2026-02-08T16:30:49Z,latency,P1,SRE
[auth] incorrect data (DB_CONN). alert triggered from monitoring.,auth,monitoring,DB_CONN,2026-02-07T17:50:49Z,data_issue,P2,Data
[observability] 500 spike (E503). user says app is broken. randomly,observability,user_report,E503,2026-02-05T17:37:49Z,outage,P0,SRE
[observability] token invalid (E429). user says app is broken. randomly,observability,user_report,E429,2026-02-01T15:11:49Z,auth_issue,P1,Security
[payments] slow response (E403).,payments,partner,E403,2026-01-31T23:44:49Z,latency,P1,SRE
[payments] checkout broken (E403). after last change,payments,partner,E403,2026-02-07T09:40:49Z,payment_issue,P1,Payments
[gateway] service down (E502).,gateway,batch_job,E502,2026-02-08T14:08:49Z,outage,P0,SRE
[gateway] 500 spike (E502). user says app is broken.,gateway,user_report,E502,2026-01-29T21:42:49Z,outage,P0,SRE
[payments] login fails (TIMEOUT).,payments,qa,TIMEOUT,2026-01-29T14:12:49Z,auth_issue,P1,Security
[gateway] timeouts (OOM). randomly,gateway,oncall,OOM,2026-02-06T06:16:49Z,latency,P1,SRE
[mobile] unavailable (E401).,mobile,oncall,E401,2026-01-29T17:46:49Z,outage,P1,SRE
[payments] rollback (E403). alert triggered from monitoring. occurred right after deployment.,payments,monitoring,E403,2026-02-07T18:13:49Z,deployment_issue,P1,Platform
[payments] unavailable (E502). needs investigation,payments,oncall,E502,2026-01-26T17:42:49Z,outage,P0,SRE
[search] degraded (E408). user says app is broken. after last change,search,user_report,E408,2026-01-28T09:26:49Z,latency,P1,SRE
[inventory] after deploy (E408) .occurred right after deployment. randomly,inventory,oncall,E408,2026-02-04T21:29:49Z,deployment_issue,P1,Platform
[inventory] rollback (E401). user says app is broken. occurred right after deployment. repro steps unknown,inventory,user_report,E401,2026-02-04T10:49:49Z,deployment_issue,P1,Platform
[mobile] login fails (TIMEOUT). repro steps unknown,mobile,qa,TIMEOUT,2026-02-10T03:43:49Z,auth_issue,P1,Security
[mobile] charge failed (E502). after last change,mobile,oncall,E502,2026-02-09T14:22:49Z,payment_issue,P0,Payments
[inventory] unavailable (E503). repro steps unknown,inventory,oncall,E503,2026-01-30T18:01:49Z,outage,P0,SRE
[mobile] missing records (E500).,mobile,qa,E500,2026-01-30T07:24:49Z,data_issue,P2,Data
[search] premission denied (OOM). happens since morning,search,partner,OOM,2026-02-02T16:53:49Z,auth_issue,P1,Security
[inventory] rollback (E504). occurred right after deployment.,inventory,partner,E504,2026-02-05T04:29:49Z,deployment_issue,P2,Platform
[inventory] p95 ihgh (E500).,inventory,qa,E500,2026-01-29T04:52:49Z,latency,P1,SRE
[mobile] degraded (OOM).,mobile,qa,OOM,2026-02-10T03:32:49Z,latency,P1,SRE
[mobile] config error (E408). user says app is broken. occurred right after deployment.,mobile,user_report,E408,2026-02-03T02:30:49Z,deployment_issue,P1,Platform
[observability] stale cache (TIMEOUT).,observability,qa,TIMEOUT,2026-02-01T17:28:49Z,data_issue,P3,Data
[observability] checkout broken (E504). user says app is broken.,observability,user_report,E504,2026-01-31T00:04:49Z,payment_issue,P1,Payments
[observability] timeouts (E500). alert triggered from monitoring. seen by customers,observability,monitoring,E500,2026-02-06T18:37:49Z,latency,P1,SRE
[search] cannot reach (E429).,search,qa,E429,2026-02-06T17:57:49Z,outage,P0,SRE
[payments] charge failed (E503).,payments,partner,E503,2026-01-27T17:47:49Z,payment_issue,P1,Payments
[inventory] permission denied (E429).,inventory,batch_job,E429,2026-01-28T18:35:49Z,auth_issue,P1,Security
[search] incorrect data (E408).,search,batch_job,E408,2026-02-08T10:54:49Z,data_issue,P3,Data
[search] unavailable (E408). after last change,search,batch_job,E408,2026-02-05T18:05:49Z,outage,P0,SRE
[auth] after deploy (E401). occurred right after deployment. pls fix asap,auth,batch_job,E401,2026-01-29T07:06:49Z,deployment_issue,P2,Platform
[inventory] p95 high (OOM). alert triggered from monitoring.,inventory,monitoring,OOM,2026-02-06T16:37:49Z,latency,P1,SRE
[gateway] incorrect data (E408). pls fix asap,gateway,oncall,E408,2026-01-26T21:45:49Z,data_issue,P2,Data
[mobile] timeout (E429). urgent,mobile,batch_job,E429,2026-01-28T12:31:49Z,outage,P0,SRE
[payments] checkout broken (TIMEOUT). after last change,payments,oncall,TIMEOUT,2026-01-27T16:15:49Z,payment_issue,P0,Payments
[mobile] payment declined (DB_CONN).,mobile,oncall,DB_CONN,2026-02-05T11:30:49Z,payment_issue,P0,Payments
[observability] version mismatch (E503). occurred right after deployment.,observability,batch_job,E503,2026-02-05T17:06:49Z,deployment_issue,P1,Platform
[observability] config error (OOM). occurred right after deployment. randomly,observability,partner,OOM,2026-02-06T19:30:49Z,deployment_issue,P1,Platform
[gateway] stale cache (E500). intermittent,gateway,oncall,E500,2026-01-29T17:50:49Z,data_issue,P2,Data
[inventory] config reror (E504). occurred right after deployment. intermittent,inventory,qa,E504,2026-02-05T09:44:49Z,deployment_issue,P1,Platform
[billing] stale cache (TIMEOUT).,billing,batch_job,TIMEOUT,2026-02-04T08:52:49Z,data_issue,P3,Data
[gateway] slow resopnse (E500).,gateway,oncall,E500,2026-01-30T02:09:49Z,latency,P2,SRE
[inventory] unauthorized (E504).,inventory,qa,E504,2026-02-06T06:36:49Z,auth_issue,P1,Security
[search] timeout (E401).,search,oncall,E401,2026-01-28T16:15:49Z,outage,P0,SRE
[payments] webhook failed (E500). randomly,payments,partner,E500,2026-02-09T04:56:49Z,payment_issue,P0,Payments
[observability] after deploy (OOM). alert triggered from monitoring. occurred right after deployment.,observability,monitoring,OOM,2026-02-09T00:14:49Z,deployment_issue,P1,Platform
[mobile] missing records (OOM).,mobile,partner,OOM,2026-01-27T12:54:49Z,data_issue,P3,Data
[gateway] timeout (OOM).,gateway,partner,OOM,2026-02-05T10:16:49Z,outage,P1,SRE
[search] incorrect data (E408.) user says app is broken.,search,user_report,E408,2026-02-02T22:19:49Z,data_issue,P2,Data
[inventory] config error (E500). occurred right after deployment. intermittent,inventory,oncall,E500,2026-02-04T03:47:49Z,deployment_issue,P1,Platform
[inventory] token invalid (E408). repro steps unknown,inventory,qa,E408,2026-02-03T03:52:49Z,auth_issue,P1,Security
[gateway] permission denied (E503).,gateway,qa,E503,2026-01-29T20:43:49Z,auth_issue,P1,Security
[gateway] lag (E403). alert triggered from monitoring.,gateway,monitoring,E403,2026-02-05T13:19:49Z,latency,P1,SRE
[search] config error (TIMEOUT). occurred right after deployment.,search,batch_job,TIMEOUT,2026-01-27T16:16:49Z,deployment_issue,P1,Platform
[observability] unauthorized (E503).,observability,oncall,E503,2026-02-05T09:56:49Z,auth_issue,P1,Security
[payments] unauthorized (E403).,payments,batch_job,E403,2026-02-02T06:39:49Z,auth_issue,P1,Security
